name,category,address,lat,lon,rating,reviews,phone,website,place_id,search_term,grid_lat,grid_lon
Shree Rasanand Rinky Food Products,Sweet shop,"Shop 3, Shital Apartment, RC Dutt Rd, Alkapuri, Vadodara, Gujarat 390007 ",22.310779,73.1702948,3.6,123,098794 00451 ,,ChIJx7zOn7rIXzkRSXh06X2bPnM,snacks,22.306023,73.161626
western restaurant,Restaurant,"Maharaja Sayajirao University, Sayajiganj, Vadodara, Gujarat 390007 ",22.312562,73.1810966,4.9,420,094264 03850 ,http://www.westernrestaurant.in/,ChIJ70nS7o3JXzkRRa4fEVY2wmc,restaurants,22.306023,73.161626
Velvet Bakers,Cafe,"31, Dr Rustom Cama Marg, near Maruti Courier, Chandralok Society, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3148808,73.1707524,4.2,853,072650 77775 ,,ChIJMc1gerDIXzkRSJTBYSVexGc,bakery,22.306023,73.161626
PUNJABI CHINESE SOUTH INDIAN,Punjabi restaurant,"Alkapuri, Vadodara, Gujarat 390007 ",22.3113035,73.1794383,5.0,1,090334 83773 ,,ChIJIWnIi7LIXzkRHWJx6uJcC2g,restaurants,22.306023,73.161626
Exotic Eats,Biryani restaurant,"G-63, Atlantis K-10 Sarabhai Campus, Genda Cir, Subhanpura, Vadodara, Gujarat 390023 ",22.3179522,73.1683848,4.8,22,087995 10549 ,http://exoticeats.mini.store/,ChIJ59DpLADJXzkR0gzNyk4-0SA,restaurants,22.306023,73.161626
Royal snacks centre,snacks,"8557+VX6, Dr Ambedkar Cir, Race Course Rd, Race Course, Gautam Nagar, Vadiwadi, Vadodara, Gujarat 390007 ",22.309918,73.165032,,,,,ChIJO7ErRB7JXzkRabGz0RurjPQ,snacks,22.306023,73.161626
Good Bite,Fast food restaurant,"Dwarkesh Complex, RC Dutt Rd, nr. Welcome Hotel, Alkapuri, Vadodara, Gujarat 390007 ",22.3103476,73.1665691,4.5,69,094263 13602 ,,ChIJHwGeRuzJXzkRk6sjGiHLqNM,fast food,22.306023,73.161626
24 Carats Multi Cuisine Restaurant,Indian restaurant,"RC Dutt Rd, Vishwas Colony, Alkapuri, Vadodara, Gujarat 390007 ",22.3102418,73.1689587,4.0,656,0265 613 8000 ,https://expresshotelsindia.com/express-towers-vadodara/restaurants/24-carats/,ChIJq6qqarHIXzkRZ8MKFYkZwE4,restaurants,22.316023,73.161626
Retro Bistro : The Fine Multi Cuisine Restaurant ( Vadodara ),Fine dining restaurant,"SF-204, The Emerald, Race Course Rd, near Chakli Circle, Paris Nagar, Diwalipura, Vadodara, Gujarat 390007 ",22.3079849,73.1643144,4.3,"3,058",089800 88877 ,http://www.retrobistro.in/,ChIJ40A0V6PIXzkR1MziRFGtiX8,restaurants,22.316023,73.161626
A food punjabi khana,Punjabi restaurant,"Vishwas Colony, Vadiwadi, Vadodara, Gujarat 390007 ",22.3102779,73.1725299,4.5,12,,,ChIJ6Znd0U_JXzkRXioZySjzwAg,restaurants,22.316023,73.161626
Muffins The Cake Shop,Bakery and Cake Shop,"Hotel Express Towers, RC Dutt Rd, Vishwas Colony, Alkapuri, Vadodara, Gujarat 390007 ",22.3102506,73.1689481,4.0,125,075748 20963 ,https://www.muffinscakes.com/,ChIJzRzER7DIXzkRfa5u09dMjd4,bakery,22.316023,73.161626
Lazeez,Mughlai restaurant,"Vishal Chambers, 34, 34, RC Dutt Rd, Aradhana Society, Vishwas Colony, Alkapuri, Vadodara, Gujarat 390007 ",22.3093237,73.1719225,4.1,"1,820",095106 88453 ,,ChIJAQAAELDIXzkRZPPWFoRrQxg,restaurants,22.316023,73.171626
Lucky Punjabi Restaurant,Punjabi restaurant,"Shop no 2/3, Gayathri Chamber, near Railway Station Garnala, Alkapuri, Vadodara, Gujarat 390007 ",22.309262,73.179472,3.9,138,098251 48803 ,https://zomato.onelink.me/xqzv/xjrbhnkf,ChIJ4cVFdq3IXzkR3j1erY3G5FA,restaurants,22.316023,73.171626
Le Prive World Cuisine,Fine dining restaurant,"First Floor, 17/B, opposite Reliance Fresh, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3162442,73.1710087,4.5,"2,685",,,ChIJdyWSXLfIXzkRVM4xqIYnm10,restaurants,22.316023,73.171626
Italian Affair,Italian restaurant,"857C+574, Ground Floor, Arun Complex Near CH Jewellers, behind Old HDFC Bank, Alkapuri, Vadodara, Gujarat 390007 ",22.3128942,73.1706917,4.4,994,097145 02546 ,https://www.zomato.com/vadodara/italian-affair-alkapuri/order,ChIJkfROq0TJXzkRkrqD9nDJXrE,restaurants,22.316023,73.171626
Burger King,Fast food restaurant,"Shop No 8, Ground Floor, Golden Icon Bird Circle, Old Padra Rd, opposite BSNL Office, Chikuwadi, Haripura, Vadodara, Gujarat 390007 ",22.3077012,73.1658003,4.2,"4,383",088798 09279 ,https://stores.burgerking.in/burger-king-fast-food-restaurant-op-road-vadodara-179264/Home?utm_source=locator&utm_medium=googleplaces,ChIJUbDHBqvJXzkR_nAyO0iyuqg,fast food,22.316023,73.161626
Shozo Bakers,Bakery and Cake Shop,"32B, beside M K Highschool, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.314613,73.170613,4.1,224,083204 08576 ,https://www.shozobakers.com/,ChIJe7bv8rLPXzkRdjG5VDXdVzI,bakery,22.316023,73.171626
Rolls Mania,Fast food restaurant,"G-03 11, Sarthi Complex II 12A, opposite Old School Eatery, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3160267,73.1707358,4.0,57,093130 87103 ,http://www.rollsmania.com/,ChIJiQy7C1jPXzkR_4hkWCxs4qY,fast food,22.316023,73.171626
McDonald's,Fast food restaurant,"Vadodara Central Mall, K 10, Genda Cir, Alkapuri, Vadodara, Gujarat 390001 ",22.3171643,73.1684008,4.4,"5,967",089282 10312 ,https://mcdelivery.co.in/restaurants/baroda/275/order-food-online-in-McDonalds-barodak10atlantis-sayajipath,ChIJTSFtsbnIXzkR3YSG12xjq-s,fast food,22.316023,73.171626
What The Food | Best Veg Burgers in Vadodara!,Fast food restaurant,"Shop 9, Ground Floor, Harmony Complex, opposite MK High School, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3144067,73.1710508,5.0,44,084870 63321 ,,ChIJX9RIMgDPXzkR80rpKAD9mNU,fast food,22.316023,73.171626
Floury Bakery,Bakery and Cake Shop,"49, 1, near Crossword, Alkapuri, Vadodara, Arunoday Society, Alkapuri, Vadodara, Gujarat 390007 ",22.3149778,73.1758326,4.6,28,094273 42330 ,,ChIJGwyLkXHJXzkRCQEOuFanhjk,bakery,22.316023,73.171626
Choice Snack Bar,Snack bar,"Welcome Hotel Lane, RC Dutt Rd, Vadiwadi, Vadodara, Gujarat 390007 ",22.3101947,73.166844,4.8,28,06355 103 889 ,https://choicesnackbar.com/,ChIJG5Jd4bTJXzkRLbolvjUGcy8,snacks,22.316023,73.171626
Room Zoom Snacks Corner,Snack bar,"Kashyap Complex, B4 71, BPC Rd, Sampatrao Colony, Jetalpur, Vadodara, Gujarat 390007 ",22.3084857,73.1741044,4.1,180,098252 96161 ,,ChIJI6ufGR3GXzkRUhtFwDP0CG4,snacks,22.316023,73.171626
